WOJ. PODLASKIE;;1145841
  Powiat augustowski;2001000;55132
    m. Augustów;2001011;29305
    gm.w. Augustów;2001022;6452
    gm.w. Bargłów Kościelny;2001032;5035
    gm.m-w. Lipsk;2001043;4495
    gm.w. Nowinka;2001052;2896
    gm.w. Płaska;2001062;2353
    gm.w. Sztabin;2001072;4596
  Powiat białostocki;2002000;155785
    gm.m-w. Choroszcz;2002013;17281
    gm.m-w. Czarna Białostocka;2002023;10837
    gm.w. Dobrzyniewo Duże;2002032;10161
    gm.w. Gródek;2002042;4954
    gm.w. Juchnowiec Kościelny;2002052;18208
    gm.m-w. Łapy;2002063;20618
    gm.m-w. Michałowo;2002073;6022
    gm.w. Poświętne;2002082;3136
    gm.m-w. Supraśl;2002093;17484
    gm.m-w. Suraż;2002103;1933
    gm.w. Turośń Kościelna;2002112;6873
    gm.m-w. Tykocin;2002123;5793
    gm.m-w. Wasilków;2002133;20088
    gm.m-w. Zabłudów;2002143;9876
    gm.w. Zawady;2002152;2521
  Powiat bielski;2003000;51467
    m. Bielsk Podlaski;2003011;24233
    m. Brańsk;2003021;3550
    gm.w. Bielsk Podlaski;2003032;6433
    gm.w. Boćki;2003042;3865
    gm.w. Brańsk;2003052;5274
    gm.w. Orla;2003062;2465
    gm.w. Rudka;2003072;1678
    gm.w. Wyszki;2003082;3969
  Powiat grajewski;2004000;44940
    m. Grajewo;2004011;21200
    gm.w. Grajewo;2004022;5493
    gm.w. Radziłów;2004032;4391
    gm.m-w. Rajgród;2004043;4690
    gm.m-w. Szczuczyn;2004053;5817
    gm.w. Wąsosz;2004062;3349
  Powiat hajnowski;2005000;39710
    m. Hajnówka;2005011;19354
    gm.w. Białowieża;2005022;2076
    gm.w. Czeremcha;2005032;2767
    gm.w. Czyże;2005042;1836
    gm.w. Dubicze Cerkiewne;2005052;1356
    gm.w. Hajnówka;2005062;3674
    gm.m-w. Kleszczele;2005073;2174
    gm.w. Narew;2005082;3266
    gm.w. Narewka;2005092;3207
  Powiat kolneński;2006000;35985
    m. Kolno;2006011;9911
    gm.w. Grabowo;2006022;3250
    gm.w. Kolno;2006032;7954
    gm.w. Mały Płock;2006042;4446
    gm.m-w. Stawiski;2006053;5599
    gm.w. Turośl;2006062;4825
  Powiat łomżyński;2007000;49803
    gm.m-w. Jedwabne;2007013;4948
    gm.w. Łomża;2007022;11933
    gm.w. Miastkowo;2007032;4037
    gm.m-w. Nowogród;2007043;3903
    gm.w. Piątnica;2007052;10293
    gm.w. Przytuły;2007062;1944
    gm.w. Śniadowo;2007072;5096
    gm.w. Wizna;2007082;3657
    gm.w. Zbójna;2007092;3992
  Powiat moniecki;2008000;37885
    gm.m-w. Goniądz;2008013;4652
    gm.w. Jasionówka;2008022;2471
    gm.w. Jaświły;2008032;4405
    gm.m-w. Knyszyn;2008043;4529
    gm.w. Krypno;2008052;3738
    gm.m-w. Mońki;2008063;14114
    gm.w. Trzcianne;2008072;3976
  Powiat sejneński;2009000;18893
    m. Sejny;2009011;4985
    gm.w. Giby;2009022;2500
    gm.w. Krasnopol;2009032;3622
    gm.w. Puńsk;2009042;3996
    gm.w. Sejny;2009052;3790
  Powiat siemiatycki;2010000;41347
    m. Siemiatycze;2010011;13559
    gm.m-w. Drohiczyn;2010023;5807
    gm.w. Dziadkowice;2010032;2560
    gm.w. Grodzisk;2010042;3826
    gm.w. Mielnik;2010052;2119
    gm.w. Milejczyce;2010062;1653
    gm.w. Nurzec-Stacja;2010072;3540
    gm.w. Perlejewo;2010082;2541
    gm.w. Siemiatycze;2010092;5742
  Powiat sokólski;2011000;62400
    gm.m-w. Dąbrowa Białostock;2011013;10289
    gm.w. Janów;2011022;3788
    gm.w. Korycin;2011032;3058
    gm.m-w. Krynki;2011043;2789
    gm.w. Kuźnica;2011052;3705
    gm.w. Nowy Dwór;2011062;2259
    gm.w. Sidra;2011072;3087
    gm.m-w. Sokółka;2011083;24205
    gm.m-w. Suchowola;2011093;6421
    gm.w. Szudziałowo;2011102;2799
  Powiat suwalski;2012000;34752
    gm.w. Bakałarzewo;2012012;2986
    gm.w. Filipów;2012022;4057
    gm.w. Jeleniewo;2012032;3107
    gm.w. Przerośl;2012042;2781
    gm.w. Raczki;2012052;5718
    gm.w. Rutka-Tartak;2012062;2241
    gm.w. Suwałki;2012072;7955
    gm.w. Szypliszki;2012082;3883
    gm.w. Wiżajny;2012092;2024
  Powiat wysokomazowiecki;2013000;54045
    m. Wysokie Mazowieckie;2013011;9032
    gm.m-w. Ciechanowiec;2013023;8078
    gm.m-w. Czyżew;2013033;6085
    gm.w. Klukowo;2013042;4017
    gm.w. Kobylin-Borzymy;2013052;2967
    gm.w. Kulesze Kościelne;2013062;2956
    gm.w. Nowe Piekuty;2013072;3582
    gm.w. Sokoły;2013082;5289
    gm.m-w. Szepietowo;2013093;6533
    gm.w. Wysokie Mazowieckie;2013102;5506
  Powiat zambrowski;2014000;41653
    m. Zambrów;2014011;21101
    gm.w. Kołaki Kościelne;2014022;2168
    gm.w. Rutki;2014032;5128
    gm.w. Szumowo;2014042;4574
    gm.w. Zambrów;2014052;8682
Miasta na prawach powiatu:;;
Cities with powiat status:;;
Białystok;2061000;293028
Łomża;2062000;60264
Suwałki;2063000;68752
